Word,Translation,Probability
To scald,Ошпарить,1
A knee ,Колено,1
To write out,Выписывать,1
A thief,Вор,1
A needle,Иголка,1
Thread,Нитка,1
To prick,Уколоть,1
To put smth aside ,Отложить что-то в сторону,1
Abroad ,Заграница,1
Enormous ,Громадный,1
To set in,Установиться,1
To pour out,Выливать,1
To hesitate whether to do smth or not,"Колебаться, сомневаться",1
All over the world,По всему мире,1
To make a big impression,Произвести большое впечатление,1
Lake shore,Берег озера,1
Sea coast,Берег моря,1
Past the house,Мимо дома,1
To crumple,Смять,1
Damp,Сыро,1
To set out,Отправляться,1
A vessel ,"Судно, корабль",1
To reply,Отвечать,1
To reveal,Обнаруживать,1
Favorable,Благоприятный,1
In on time,Очень быстро,1
A halt,Остановка,1
To stir,Размешивать,1
A resistance,Сопротивление,1
A current,"Течение, ток",1
Black/red currant,Черная/красная смородина,1
Lean,Худой,1
A spring,Пружина,1
To spring,Отскакивать,1
Time is pressing,Время поджимает,1
Let me help you / permit me to help you,Позвольте мне вам помочь,1
In the open air,На открытом воздухе,1
It goes without saying,Само собой разумеющееся,1
To take up,Заниматься / начать заниматься,1
To be in the habit of doing smth,Иметь привычку что-то делать,1
To get a habit of doing smth,Привыкнуть делать что-то,1
To get out of the habit of doing smth,Отвыкнуть делать что-то,1
A waist,Талия,1
Trifles,Мелочи,1
To avoid doing smth,Избегать делания чего-то,1
Deaf-and-dumb,Глухонемой,1
To fuss,Суетиться,1
Thorough,Тщательный,1
Don’t mind doing smth,Не против делать что-то,1
To hate doing smth,Ненавидеть что-то делать,1
In spite of,Несмотря на,1
Can't bear,Терпеть не могу,1
Smth + be + worth + doing,Что-то стоит сделать,1
To wonder,"Удивляться, интересоваться",1
Remember to call him,"Помните, что ему надо позвонить",1
Remember calling him yesterday,"Я помню, что я звонил ему вчера",1
To avoid,Избегать,1
To put off,Отложить,1
Interfering,Вмешательство,1
Though / although,Хотя,1
To deny,Отрицать,1
To commit a crime,Совершить приступление,1
Cannot help doing,Не мог не сделать…,1
To tremble / to shiver,Дрожать,1
To pretend to be,Притворяться,1
